@relation sms_spam_proiektua-weka.filters.supervised.instance.Resample-B0.0-S50-Z80.0-no-replacement

@attribute Text string
@attribute class_label {ham,spam}

@data
'Aah bless! How\'s your arm?',ham
'No plm i will come da. On the way.',ham
'Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour',ham
'S da..al r above  &lt;#&gt;',ham
'Could you not read me, my Love ? I answered you',ham
'Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!',ham
'LOL .. *grins* .. I\'m not babe, but thanks for thinking of me!',ham
'I am in your office na.',ham
'K give me a sec, breaking a  &lt;#&gt;  at cstore',ham
'Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am',ham
'Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?',ham
'Good morning. At the repair shop--the ONLY reason i\'m up at this hour.',ham
'I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?',ham
'How dare you change my ring',ham
'Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite',ham
'No idea, I guess we\'ll work that out an hour after we\'re supposed to leave since as usual nobody has any interest in figuring shit out before the last second',ham
'Neva mind it\'s ok..',ham
'Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; \% true.. Don\'t neglet.',ham
'Wat\'s my dear doing? Sleeping ah?',ham
'Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see',ham
'Simply sitting and watching match in office..',ham
'How are you. Just checking up on you',ham
'Lol your right. What diet? Everyday I cheat anyway. I\'m meant to be a fatty :(',ham
'My planning usually stops at \'find hella weed, smoke hella weed\'',ham
'Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...',ham
':( but your not here....',ham
'No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...',ham
'HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!鈥┾??〨ud evening...',ham
'Your brother is a genius',ham
'Yes princess! I want to make you happy...',ham
'CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx',ham
'Did u got that persons story',ham
'What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.',ham
'Ok lor.',ham
'I ain\'t answerin no phone at what is actually a pretty reasonable hour but I\'m sleepy',ham
'Have a nice day my dear.',ham
'It\'ll be tough, but I\'ll do what I have to',ham
'I\'ll pick you up at about 5.15pm to go to taunton if you still want to come.',ham
'He also knows about lunch menu only da. . I know',ham
'\'ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\'',ham
'Dont think so. It turns off like randomlly within 5min of opening',ham
'I\'ll let you know when it kicks in',ham
'aathi..where are you dear..',ham
'Wah... Okie okie... Muz make use of e unlimited... Haha...',ham
'Eat at old airport road... But now 630 oredi... Got a lot of pple...',ham
'Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL',ham
'Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you',ham
'Thanx 4 e brownie it\'s v nice...',ham
'would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked',ham
'I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs',ham
'Beautiful tomorrow never comes.. When it comes, it\'s already TODAY.. In the hunt of beautiful tomorrow don\'t waste your wonderful TODAY.. GOODMORNING:)',ham
'Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?',ham
'Uhhhhrmm isnt having tb test bad when youre sick',ham
'Hey you told your name to gautham ah?',ham
'PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS)',ham
'What is important is that you prevent dehydration by giving her enough fluids',ham
'Ok. I only ask abt e movie. U wan ktv oso?',ham
'I\'m so in love with you. I\'m excited each day i spend with you. You make me so happy.',ham
'The world\'s most happiest frnds never have the same characters... Dey just have the best understanding of their differences...',ham
'Great! How is the office today?',ham
'Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?',ham
'\'ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\'',ham
'Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?',ham
'Have you heard about that job? I\'m going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!',ham
'Not sure yet, still trying to get a hold of him',ham
'Dude just saw a parked car with its sunroof popped up. Sux',ham
'I cant pick the phone right now. Pls send a message',ham
'We r outside already.',ham
'Then anything special?',ham
'Sorry, I\'ll call later',ham
'Ok... But they said i\'ve got wisdom teeth hidden inside n mayb need 2 remove.',ham
'Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj',ham
'This girl does not stay in bed. This girl doesn\'t need recovery time. Id rather pass out while having fun then be cooped up in bed',ham
'(I should add that I don\'t really care and if you can\'t I can at least get this dude to fuck off but hey, your money if you want it)',ham
